name_ar,name_en,location_lat,location_long
القاهرة,Cairo,30.0626726,31.2458461
سيدي جابر,Sidi Gaber,,
الاسكندرية,Alexandria,31.1935097,29.9064885
طنطا,Tanta,,
مرسى مطروح,Marsa Matruh,31.3487992,27.2443437
سملا,Samla,31.2937154,27.3326693
راس الحكمة,Ras Hekmah,31.1315364,27.8338259
فوكة,Fokah,,
جلال,Galal,31.0356388,28.1812582
الضبعة,Dabaa,31.0277678,28.4439331
سيدي عبد الرحمن,Sidi Abd Rahman,30.9693229,28.7227197
العلمين,Alamein,30.82456909999999,28.9562816
العميد,Ameed,31.2189328,29.9424796
الرويسات,Rowaysat,30.7606667,29.18159
الحمام,Hammam,30.8394078,29.3893932
برج العرب ق,Burj Arab O,30.8557724,29.54191449999999
مطار برج العرب,Burj Arab Airport,30.9608283,29.6763621
العامرية,Amreyah,31.0183325,29.7981673
محرم بك,Moharam Beek,31.1862033,29.9255965
دمنهور,Damanhour,31.0343867,30.4683887
ايتاي البارود,Itay Barud,30.8842193,30.6618095
كفر الزيات,Kafr Zayat,30.8192858,30.8140668
بركة السبع,Berket Saba,30.6368268,31.0793037
قويسنا,Quesna,30.5478994,31.1396195
بنها,Banha,30.4558513,31.1806955
شبرا الخيمة,Shobra Khemah,30.1224317,31.2445379
الجيزة,Giza,,
بني سويف,Beni Suef,29.0760345,31.0947814
مغاغة,Maghagha,28.6494067,30.8385785
المنيا,Minya,28.0968517,30.7540305
ملوي,Mallawi,27.7330074,30.8499698
اسيوط,Asyut,27.180062,31.1881995
سوهاج,Sohag,26.5512725,31.69893759999999
نجع حمادي,Nagaa Hammadi,26.0439572,32.2408883
قنا,Qena,26.1622143,32.7272833
الاقصر,Luxor,25.6965585,32.644726
ادفو,Edfu,24.9902392,32.8893625
كوم امبو,Kom Ombo,24.4768122,32.9472276
كفر الدوار,Kafr Dawar,31.132576,30.1302577
ابو حمص,Abo Homos,31.0849053,30.3098234
التوفيقية,Tawfiqiah,30.8161827,30.7480033
ابو مشهور,Abo Mashhour,,
عرب الرمل,Arab Raml,31.2013546,29.9010136
سندنهور,Sandanhour,30.4120702,31.1880022
طوخ,Toukh,30.3514951,31.1979016
قها,Qaha,30.2850374,31.208446
قليوب,Qalyoub,30.1814655,31.204697
ديروط,Dayrout,27.5596296,30.8128271
ابو تيج,Abo Tij,27.0444795,31.31449839999999
طما,Tima,26.9053005,31.4317993
طهطا,Tahta,26.7681664,31.5055968
المراغة,Maragha,26.6961326,31.6026414
جرجا,Girga,26.3374136,31.8888655
البلينا,Balyana,26.2347296,31.9971666
فرشوط,Farshut,26.0581775,32.1655924
دشنا,Dishna,26.123184,32.4618088
قوص,Qus,25.9154235,32.7584331
ارمنت,Armant,25.5817581,32.5061658
اسنا,Esna,25.3099697,32.5706004
السباعية,Sibaiyyah,25.1991477,32.7008426
صدفا,Sidfa,26.9644391,31.3761287
دروة,Derwah,30.2209036,31.0947009
الواسطى,Wasta,29.3325204,31.1429062
ببا,Biba,28.92112209999999,30.9801159
الفشن,Fashn,28.8233801,30.9037008
بني مزار,Beni Mazar,28.4950757,30.8065249
ابو قرقاص,Abo Qurqas,27.9689405,30.8320942
دير مواس,Dayr Mawas,27.6412974,30.85801409999999
القوصية,Qusiyyah,27.4382322,30.83316659999999
منفلوط,Manfalut,27.3076908,30.9652565
ابو تشت,Abo Tesht,26.1165817,32.0955521
المنشأة,Monshaa,26.5225267,31.7448032
قفط,Qift,25.9940156,32.8008735
سلوا,Silwa Bahari,24.735971,32.93793
كلابشة,Kalabsha,24.6237803,32.9496364
دراو,Daraw,24.4074176,32.9249059
مطاي,Matay,28.4174148,30.7753443
سملوط,Samalut,28.3109027,30.7139744
تلا,Tala,30.6780396,30.944803
البتانون,Batanun,30.6161671,30.9654862
شبين الكوم ج,Shebeen Kom N,30.5535313,31.0049861
شبين الكوم ق,Shebeen Kom O,30.5535902,31.0050248
شنوان,Shanawan,30.504786,31.0057364
الحامول,Hamoul,30.4787083,30.9732131
منوف,Minuf,30.4628916,30.9385599
