name_ar,name_en
القاهرة,Cairo
سيدي جابر,Sidi Gaber
الاسكندرية,Alexandria
طنطا,Tanta
مرسى مطروح,Marsa Matruh
سملا,Samla
راس الحكمة,Ras Hekmah
فوكة,Fokah
جلال,Galal
الضبعة,Dabaa
سيدي عبد الرحمن,Sidi Abd Rahman
العلمين,Alamein
العميد,Ameed
الرويسات,Rowaysat
الحمام,Hammam
برج العرب ق,Burj Arab O
مطار برج العرب,Burj Arab Airport
العامرية,Amreyah
محرم بك,Moharam Beek
دمنهور,Damanhour
ايتاي البارود,Itay Barud
كفر الزيات,Kafr Zayat
بركة السبع,Berket Saba
قويسنا,Quesna
بنها,Banha
شبرا الخيمة,Shobra Khemah
الجيزة,Giza
بني سويف,Beni Suef
مغاغة,Maghagha
المنيا,Minya
ملوي,Mallawi
اسيوط,Asyut
سوهاج,Sohag
نجع حمادي,Nagaa Hammadi
قنا,Qena
الاقصر,Luxor
ادفو,Edfu
كوم امبو,Kom Ombo
كفر الدوار,Kafr Dawar
ابو حمص,Abo Homos
التوفيقية,Tawfiqiah
ابو مشهور,Abo Mashhour
عرب الرمل,Arab Raml
سندنهور,Sandanhour
طوخ,Toukh
قها,Qaha
قليوب,Qalyoub
ديروط,Dayrout
ابو تيج,Abo Tij
طما,Tima
طهطا,Tahta
المراغة,Maragha
جرجا,Girga
البلينا,Balyana
فرشوط,Farshut
دشنا,Dishna
قوص,Qus
ارمنت,Armant
اسنا,Esna
السباعية,Sibaiyyah
صدفا,Sidfa
دروة,Derwah
الواسطى,Wasta
ببا,Biba
الفشن,Fashn
بني مزار,Beni Mazar
ابو قرقاص,Abo Qurqas
دير مواس,Dayr Mawas
القوصية,Qusiyyah
منفلوط,Manfalut
ابو تشت,Abo Tesht
المنشأة,Monshaa
قفط,Qift
سلوا,Silwa Bahari
كلابشة,Kalabsha
دراو,Daraw
مطاي,Matay
سملوط,Samalut
تلا,Tala
البتانون,Batanun
شبين الكوم ج,Shebeen Kom N
شبين الكوم ق,Shebeen Kom O
شنوان,Shanawan
الحامول,Hamoul
منوف,Minuf
سمادون,Samadun
اشمون,Ashmun
الحلواصي,Hilwasi
الحلواصي البلد,Hilwasi B
شطانوف,Shatanof
القناطر ج,Qanatir N
قليوب البلد,Qalyoub B
العياط,Ayat
العسيرات,Usayrat
الشراونة,Sharawnah
المحاميد,Mahamid
كاجوج,Kajuj
بلانة,Ballana
اسوان,Aswan
الحوامدية,Hawamdeyya
البدرشين,Badrshein
المزغونة,Mazghounah
كفر عمار,Kafr Ammar
الميمون,Maymun
اشمنت,Ashmant
ناصر,Nasser
دماريس,Damaris
منقباد,Manqabad
المرازيق,Maraziq
الرقة,Raqqah
كوم أبو راضي,Kom Abo Rady
الورش,werash
الروس,Rous
الناصرية,Nasiriyah
سيلا,Sila
العدوة,Edwah
عامرية الفيوم,Amereyat Fayoum
ابا الوقف,Aba Wakf
الروضة,Rawda
برديس,Bardis
ابو شوشة,Abo Shousha
الرديسية,Radisia
الرمادي,Ramadi
بورسعيد,Port Said
القنطرة غرب,Qantara Gharb
الاسماعيلية,Ismailia
ابو صوير,Abo Swer
القصاصين,Qassasin
التل الكبير,Tal Kabeer
ابو حماد,Abo Hammad
الزقازيق,Zagazig
منية القمح,Menyet Qamh
المتانية,Matanyah
الفيوم,Faiyum
القطورى,Qotouri
الشيخ هارون,Sheikh Haroun
كيما,Kima
الصداقة,Sadaka
سدس,Suds
طحا البيشة,Taha Bishah
طنسا,Tansa
الزيتون ق,Zaytoun Q
بني حدير,Beni Hidayr
اطواب,Atwab
ميت القايد,Mit Qayed
البليدة,Blida
السد العالي,The High Dam
المنصورة,Mansoura
سندوب,Sandub
شاوة,Shawah
البقلية,Baqliyyah
الزريقي,Zurayqi
شبرا قبالة,Shobra Qubala
السنبلاوين,Senbellawein
طرانيس العرب,Taranis Arab
برقين,Barqin
هيكل باشا,Hikal Basha
ابو الشقوق,Abo Shuquq
بدوي,Badawy
كفر صقر,Kafr Saqr
البوها,Bouha
نزلة الخيال,Nazlet Khayal
ابو كبير,Abo Kibir
ابو ياسين,Abo Yassin
شرشيمة,Shirshimah
هيها,Hihya
العداوية,Adawyh
كفر المسلمية,Kafr Msalamya
هرية رزنة,Harayah Raznah
العصلوجي,Asluji
بردين,Bardein
اولاد سيف,Awlad Seif
بلبيس,Belbes
تل روزن,Tall Rozan
بير عمارة,Bir Imarah
انشاص,Inshas
سلمنت,Salamant
مشتول,Mashtul
منشأة الكرام,Monshaat Kiram
شبين القناطر,Shibin Qanatir
كفر شبين,Kafr Shebeen
طحانوب,Tahanub
كفر طحا,Kafr Taha
الزهوين,Zahawiyin
نوى,Nawa
كفر رمادة,Kafr Ramadah
الزاوية الحمراء,Zawya Hamraa
طلخا,Talkha
سمنود,Samannoud
المحلة الكبرى,Mahalla Kubra
محلة روح,Mahallat Rouh
جامعة الأزهر,Azhar University
ميت عساس,Mit Assas
شبلنجة,Shiblanjah
العزيزية,Aziziyyah
شربين,Shirbin
كفر سعد,Kafr Saad
راس الخليج,Ras Khaleej
دمياط,Damietta
راس العش,Ras Esh
كوم حلين,Kom Halin
محجر ابو حماد,Mahjar Abo Hammad
سرابيوم,Serapeum
ابو سلطان,Abo Sultan
فايد,Fayed
جنيفة,Jenefh
