Train Number,Train Type
1,Russian
2,Russian
3,Russian
4,Russian
7,Russian
8,Russian
14,AC Russian
15,Russian
17,AC Russian
18,Russian
21,Russian
23,Russian
24,Russian
28,Russian
29,Russian
31,Russian
32,Russian
35,Russian
36,Russian
37,Improved
38,Improved
39,Improved
40,Mix
41,Improved
42,Improved
43,Improved
44,Improved
45,Improved
46,Improved
47,Improved
48,Improved
49,Improved
50,Improved
51,Improved
52,Improved
53,Improved
55,Improved
57,Improved
58,Improved
59,Improved
60,Improved
61,Improved
62,Improved
63,Improved
64,Improved
65,Improved
66,Improved
67,Improved
68,Improved
69,Improved
71,Improved
72,Improved
73,Improved
75,Improved
80,Russian
81,AC Russian
82,Sleep
83,Sleep
86,Sleep
87,Sleep
88,AC
89,AC
90,Russian
91,Russian
100,Improved
101,Improved
102,Improved
103,Improved
104,Improved
105,Improved
106,Improved
107,Improved
108,Improved
109,Improved
110,Improved
112,Improved
113,Improved
115,Improved
118,Russian
119,Russian
121,Improved
122,Improved
123,Improved
124,Improved
125,Improved
127,Improved
128,Russian
129,Russian
130,Improved
131,Improved
132,Russian
134,Improved
135,Improved
136,Improved
137,Improved
138,Improved
140,Improved
141,Russian
142,Russian
143,Improved
145,Improved
146,Improved
147,Improved
150,Improved
152,Improved
153,Improved
156,Improved
157,Russian
158,Russian
159,AC Russian
160,AC Russian
162,Russian
163,Russian
164,Russian
165,Russian
170,Improved
172,Improved
173,Improved
175,Improved
177,Improved
178,Improved
185,AC Russian
186,AC Russian
187,Russian
188,Russian
189,Improved
194,Improved
196,AC Russian
197,Improved
202,Improved
203,Improved
204,Improved
205,Improved
206,Improved
207,Improved
208,Improved
210,Improved
211,Improved
213,Improved
214,Improved
215,Improved
216,Improved
217,Improved
218,Improved
219,Improved
226,Improved
227,Improved
228,Improved
229,Improved
230,Improved
231,Improved
232,Improved
234,Improved
235,Improved
237,Improved
238,Improved
239,Improved
240,Improved
241,Improved
243,Improved
244,Improved
246,Improved
247,Improved
255,Improved
260,Improved
264,Improved
268,Improved
270,Improved
271,Improved
272,Improved
273,Improved
274,Improved
277,Improved
278,Improved
279,Improved
281,Improved
285,Improved
286,Improved
287,Improved
288,Improved
297,Improved
298,Improved
299,Improved
300,Improved
320,Improved
321,Improved
324,Improved
325,Improved
327,Improved
328,Improved
330,Improved
332,Improved
333,Improved
334,Improved
336,Improved
337,Improved
339,Improved
340,Improved
341,Improved
343,Improved
345,Improved
347,Improved
352,Improved
374,Improved
375,Improved
376,Improved
377,Improved
378,Improved
379,Improved
380,Improved
381,Improved
382,Improved
383,Improved
384,Improved
385,Improved
386,Improved
388,Improved
389,Improved
391,Russian
392,Improved
393,Improved
394,Improved
395,Improved
397,Improved
450,Improved
453,Improved
458,Improved
459,Improved
460,Improved
461,Improved
462,Improved
463,Improved
464,Improved
465,Improved
466,Improved
467,Improved
468,Improved
469,Improved
470,Improved
471,Improved
